run,scenario,channel,variant,first,detect,early,false,lead
0,abrupt,severity,severity_only,24.0,True,True,False,0.0
0,abrupt,severity,external_only,24.0,True,True,False,0.0
0,abrupt,severity,internal_only,24.0,True,True,False,0.0
0,abrupt,severity,prism,24.0,True,True,False,0.0
1,abrupt,severity,severity_only,24.0,True,True,False,0.0
1,abrupt,severity,external_only,24.0,True,True,False,0.0
1,abrupt,severity,internal_only,24.0,True,True,False,0.0
1,abrupt,severity,prism,24.0,True,True,False,0.0
2,abrupt,severity,severity_only,24.0,True,True,False,0.0
2,abrupt,severity,external_only,24.0,True,True,False,0.0
2,abrupt,severity,internal_only,24.0,True,True,False,0.0
2,abrupt,severity,prism,24.0,True,True,False,0.0
3,abrupt,severity,severity_only,24.0,True,True,False,0.0
3,abrupt,severity,external_only,24.0,True,True,False,0.0
3,abrupt,severity,internal_only,24.0,True,True,False,0.0
3,abrupt,severity,prism,24.0,True,True,False,0.0
4,abrupt,severity,severity_only,24.0,True,True,False,0.0
4,abrupt,severity,external_only,24.0,True,True,False,0.0
4,abrupt,severity,internal_only,24.0,True,True,False,0.0
4,abrupt,severity,prism,24.0,True,True,False,0.0
5,abrupt,severity,severity_only,24.0,True,True,False,0.0
5,abrupt,severity,external_only,24.0,True,True,False,0.0
5,abrupt,severity,internal_only,24.0,True,True,False,0.0
5,abrupt,severity,prism,24.0,True,True,False,0.0
6,abrupt,severity,severity_only,24.0,True,True,False,0.0
6,abrupt,severity,external_only,24.0,True,True,False,0.0
6,abrupt,severity,internal_only,24.0,True,True,False,0.0
6,abrupt,severity,prism,24.0,True,True,False,0.0
7,abrupt,severity,severity_only,24.0,True,True,False,0.0
7,abrupt,severity,external_only,24.0,True,True,False,0.0
7,abrupt,severity,internal_only,24.0,True,True,False,0.0
7,abrupt,severity,prism,24.0,True,True,False,0.0
8,abrupt,severity,severity_only,24.0,True,True,False,0.0
8,abrupt,severity,external_only,24.0,True,True,False,0.0
8,abrupt,severity,internal_only,24.0,True,True,False,0.0
8,abrupt,severity,prism,24.0,True,True,False,0.0
9,abrupt,severity,severity_only,24.0,True,True,False,0.0
9,abrupt,severity,external_only,24.0,True,True,False,0.0
9,abrupt,severity,internal_only,24.0,True,True,False,0.0
9,abrupt,severity,prism,24.0,True,True,False,0.0
10,abrupt,severity,severity_only,24.0,True,True,False,0.0
10,abrupt,severity,external_only,22.0,True,True,False,2.0
10,abrupt,severity,internal_only,22.0,True,True,False,2.0
10,abrupt,severity,prism,22.0,True,True,False,2.0
11,abrupt,severity,severity_only,24.0,True,True,False,0.0
11,abrupt,severity,external_only,24.0,True,True,False,0.0
11,abrupt,severity,internal_only,24.0,True,True,False,0.0
11,abrupt,severity,prism,24.0,True,True,False,0.0
12,abrupt,severity,severity_only,24.0,True,True,False,0.0
12,abrupt,severity,external_only,24.0,True,True,False,0.0
12,abrupt,severity,internal_only,24.0,True,True,False,0.0
12,abrupt,severity,prism,24.0,True,True,False,0.0
13,abrupt,severity,severity_only,24.0,True,True,False,0.0
